timestamp,event_type,user,process,source_ip,status,risk,event_id,log_type,commandline,logon_type,dns_query,confidence_score,response,access_level,ensemble_score,poison_flag
2026-02-11 07:35:35,New Service Installed,LocalSystem,Microsoft Defender Core Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 07:35:35,New Service Installed,LocalSystem,Microsoft Defender Core Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 07:35:35,New Service Installed,LocalSystem,Microsoft Defender Core Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 07:35:35,New Service Installed,LocalSystem,Microsoft Defender Core Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 07:35:35,New Service Installed,LocalSystem,Microsoft Defender Core Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 04:39:17,New Service Installed,SYSTEM,KslD,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:23,New Service Installed,LocalSystem,VMware Alias Manager and Ticket Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:23,New Service Installed,LocalSystem,VMware Alias Manager and Ticket Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:23,New Service Installed,LocalSystem,VMware Alias Manager and Ticket Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:23,New Service Installed,LocalSystem,VMware Alias Manager and Ticket Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:23,New Service Installed,LocalSystem,VMware Alias Manager and Ticket Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:23,New Service Installed,LocalSystem,VMware Alias Manager and Ticket Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:23,New Service Installed,LocalSystem,VMware Alias Manager and Ticket Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:24,New Service Installed,SYSTEM,vSockets Virtual Machine Communication Interface Sockets driver,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:39,New Service Installed,SYSTEM,VMware USB Pointing Device,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:42,New Service Installed,SYSTEM,VMware Pointing Device,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:43,New Service Installed,SYSTEM,Memory Control Driver,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:44,New Service Installed,SYSTEM,VMware Host Guest Client Redirector,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:45,New Service Installed,SYSTEM,VMware Physical Disk Helper,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:45,New Service Installed,SYSTEM,VMware Physical Disk Helper,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:54,New Service Installed,SYSTEM,vm3dmp-stats,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:54,New Service Installed,SYSTEM,vm3dmp,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:54,New Service Installed,SYSTEM,vm3dmp-debug,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:54,New Service Installed,SYSTEM,vm3dmp_loader,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:54,New Service Installed,SYSTEM,vm3dmp_loader,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:54,New Service Installed,SYSTEM,vm3dmp-stats,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:54,New Service Installed,SYSTEM,vm3dmp-debug,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:54,New Service Installed,SYSTEM,vm3dmp,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:55,New Service Installed,LocalSystem,VMware SVGA Helper Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:55,New Service Installed,LocalSystem,VMware SVGA Helper Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:55,New Service Installed,LocalSystem,VMware SVGA Helper Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:55,New Service Installed,LocalSystem,VMware SVGA Helper Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:55,New Service Installed,LocalSystem,VMware SVGA Helper Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:55,New Service Installed,LocalSystem,VMware SVGA Helper Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:55,New Service Installed,LocalSystem,VMware SVGA Helper Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:58,New Service Installed,LocalSystem,VMware Tools,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:58,New Service Installed,LocalSystem,VMware Tools,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:58,New Service Installed,LocalSystem,VMware Tools,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:58,New Service Installed,LocalSystem,VMware Tools,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:58,New Service Installed,LocalSystem,VMware Tools,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:58,New Service Installed,LocalSystem,VMware Tools,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:00:58,New Service Installed,LocalSystem,VMware Tools,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:01:01,New Service Installed,SYSTEM,VMware Snapshot Provider,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-26 05:01:01,New Service Installed,SYSTEM,VMware Snapshot Provider,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,SYSTEM,SysmonDrv,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,SYSTEM,SysmonDrv,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,LocalSystem,Sysmon64,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,LocalSystem,Sysmon64,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,LocalSystem,Sysmon64,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,LocalSystem,Sysmon64,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,LocalSystem,Sysmon64,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,LocalSystem,Sysmon64,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-03-27 18:47:41,New Service Installed,LocalSystem,Sysmon64,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-04-22 15:01:19,New Service Installed,SYSTEM,KslD,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-04-22 15:01:19,New Service Installed,SYSTEM,KslD,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-04-24 08:52:28,DNS Query,analyst,<unknown process>,::ffff:142.250.205.110;,HIGH,HIGH,22,sysmon,N/A,N/A,google.com,0.612,NO ACTION REQUIRED,VIEWER,0,0
2026-04-24 08:52:38,DNS Query,analyst,<unknown process>,::ffff:142.250.205.110;,HIGH,HIGH,22,sysmon,N/A,N/A,google.com,0.612,NO ACTION REQUIRED,VIEWER,0,0
2026-04-24 09:01:31,DNS Query,analyst,<unknown process>,::ffff:142.250.182.78;,HIGH,HIGH,22,sysmon,N/A,N/A,google.com,0.612,NO ACTION REQUIRED,VIEWER,0,0
2026-05-09 02:49:47,Successful Logon,SYSTEM,nan,N/A,CRITICAL,CRITICAL,4624,security,N/A,0,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-05-09 04:24:47,Successful Logon,SYSTEM,nan,N/A,CRITICAL,CRITICAL,4624,security,N/A,0,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-05-09 04:46:04,Process Creation,john,net.exe,N/A,CRITICAL,CRITICAL,1,sysmon,net  localgroup administrators,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
